date,open,high,low,close
2017-10-23,295.1,295.75,277.57,286.95
2017-10-24,287.12,311.96,282.66,298.33
2017-10-25,298.44,301.85,290.72,297.93
2017-10-26,298.02,301.07,295.22,296.53
2017-10-27,296.51,299.26,294.06,297.42
2017-10-28,297.92,300.36,293.58,296.3
2017-10-29,296.38,313.75,296.38,305.09
2017-10-30,304.78,310.5,304.35,307.75
2017-10-31,307.38,310.55,305.88,305.88
2017-11-01,305.76,306.4,290.58,291.69
2017-11-02,290.73,293.91,281.17,287.43
2017-11-03,288.5,308.31,287.69,305.71
2017-11-04,305.48,305.48,295.8,300.47
2017-11-05,300.04,301.37,295.12,296.26
2017-11-06,296.43,305.42,293.72,298.89
2017-11-07,298.57,304.84,290.77,294.66
2017-11-08,294.27,318.7,293.1,309.07
2017-11-09,308.64,329.45,307.06,320.88
2017-11-10,320.67,324.72,294.54,299.25
2017-11-11,298.59,319.45,298.19,314.68
2017-11-12,314.69,319.15,298.51,307.91
2017-11-13,307.02,328.42,307.02,316.72
2017-11-14,316.76,340.18,316.76,337.63
2017-11-15,337.96,340.91,329.81,333.36
2017-11-16,333.44,336.16,323.61,330.92
2017-11-17,330.17,334.96,327.52,332.39
2017-11-18,331.98,349.62,327.69,347.61
2017-11-19,347.4,371.29,344.74,354.39
2017-11-20,354.09,372.14,353.29,366.73
2017-11-21,367.44,372.47,350.69,360.4
2017-11-22,360.31,381.42,360.15,380.65
2017-11-23,381.44,425.55,376.09,410.17
2017-11-24,412.5,480.97,402.76,474.91
2017-11-25,475.68,485.19,461.05,466.28
2017-11-26,465.97,472.72,451.61,471.33
2017-11-27,471.53,493.4,468.49,480.36
2017-11-28,480.52,482.48,466.35,472.9
2017-11-29,473.28,522.31,425.07,427.52
2017-11-30,431.21,465.5,401.24,447.11
2017-12-01,445.21,472.61,428.31,466.54
2017-12-02,466.85,476.24,456.65,463.45
2017-12-03,463.7,482.81,451.85,465.85
2017-12-04,466.05,474.78,453.31,470.2
2017-12-05,470.29,473.56,457.66,463.28
2017-12-06,462.6,462.71,420.21,428.59
2017-12-07,426.37,441.4,414.41,434.41
2017-12-08,434.99,466.06,422.37,456.03
2017-12-09,457.34,504.15,456.25,473.5
2017-12-10,472.79,472.79,429.51,441.72
2017-12-11,440.36,516.97,439.1,515.14
2017-12-12,522.29,657.32,504.49,651.43
2017-12-13,644.91,747.99,597.8,702.77
2017-12-14,700.59,753.12,664.99,695.82
2017-12-15,696.38,697.13,621.06,684.45
2017-12-16,686.19,718.38,680.79,696.21
2017-12-17,696.24,735.83,696.24,719.98
2017-12-18,721.73,803.93,689.23,794.64
2017-12-19,793.9,881.94,785.34,826.82
2017-12-20,827.52,845.06,756.0,819.09
2017-12-21,820.24,880.54,792.69,821.06
2017-12-22,822.64,827.68,543.76,674.86
2017-12-23,681.32,763.89,679.73,719.39
2017-12-24,721.77,721.77,614.92,694.15
2017-12-25,698.87,782.52,698.87,765.83
2017-12-26,763.37,786.79,760.93,773.84
2017-12-27,774.97,789.25,738.41,762.84
2017-12-28,762.21,763.32,701.19,737.02
2017-12-29,740.39,770.12,729.61,753.59
2017-12-30,753.82,753.82,685.23,717.26
2017-12-31,712.21,760.35,710.12,756.73
